title,description,release_year,genres_list,rating,votes,directors,actors,runtime_minutes
Star Trek,"The greatest adventure of all time begins with Star Trek, the incredible story of a young crew's maiden voyage onboard the most advanced starship ever created: the U.S.S. Enterprise. On a journey filled with action, comedy and cosmic peril, the new recruits must find a way to stop an evil being whose mission of vengeance threatens all of mankind. The fate of the galaxy rests in the hands of bitter rivals. One, James T. Kirk, is a delinquent, thrill-seeking Iowa farm boy. The other, Spock, was raised in a logic-based society that rejects all emotion. As fiery instinct clashes with calm reason, their unlikely but powerful partnership is the only thing capable of leading their crew through unimaginable danger, boldly going where no one has gone before! [Paramount]",2009.0,"['Action', 'Adventure', 'Sci-Fi']",7.7,955,J.J. Abrams,"['Chris Pine', 'Zachary Quinto', 'Leonard Nimoy', 'Eric Bana', 'Bruce Greenwood']",127 minutes
A Quiet Place,"A family of four must navigate their lives in silence after mysterious creatures that hunt by sound threaten their survival. If they hear you, they hunt you. ",2018.0,"['Drama', 'Horror', 'Sci-Fi']",7.1,"1,392",John Krasinski,"['Emily Blunt', 'John Krasinski', 'Millicent Simmonds', 'Noah Jupe', 'Cade Woodward']",90 minutes
The Teachers' Lounge,"Carla Nowak (Leonie Benesch) is a dedicated, idealistic young teacher in her first job at a German middle school. Her relaxed rapport with her seventh-grade students is put under stress when a series of thefts occur at the school, and a staff investigation leads to accusations and mistrust among outraged parents, opinionated colleagues, and angry students. Caught in the middle of these complex dynamics, Carla tries to mediate—but the more she tries to do everything right, the more desperate her position becomes.",2023.0,['Drama'],8.1,42,Ilker Çatak,"['Leonie Benesch', 'Eva Löbau', 'Michael Klammer', 'Rafael Stachowiak', 'Sarah Bauerett']",98 minutes
Frances Ha,"This small budget, black-and white-collaboration between writer/director Noah Baumbach and writer/star Greta Gerwig centers on Frances (Gerwig), an apprentice dancer fumbling through post-college life in New York City.",2013.0,"['Comedy', 'Drama', 'Romance']",7.8,233,Noah Baumbach,"['Greta Gerwig', 'Mickey Sumner', 'Michael Zegen', 'Adam Driver', ""Charlotte d'Amboise""]",86 minutes
The Namesake,"Spanning two generations, two clashing cultures and two very different ways of life that crash into each other only to become lovingly intertwined, The Namesake is ultimately about the imminently relevant question: what does it mean to be an American family?  [Fox Searchlight Pictures]",2007.0,['Drama'],7.7,27,Mira Nair,"['Kal Penn', 'Irrfan Khan', 'Tabu', 'Jacinda Barrett', 'Zuleikha Robinson']",122 minutes
C'mon C'mon,"Johnny (Joaquin Phoenix) is a kindhearted radio journalist deep into a project in which he interviews children across the U.S. about our world’s uncertain future. His sister, Viv (Gaby Hoffmann), asks him to watch her 8-year-old son, Jesse (Woody Norman), while she tends to the child’s father, who’s suffering from mental health issues. After agreeing, Johnny finds himself connecting with his nephew in ways he hadn’t expected, ultimately taking Jesse with him on a journey from Los Angeles to New York to New Orleans. ",2021.0,['Drama'],7.2,80,Mike Mills,"['Joaquin Phoenix', 'Gaby Hoffmann', 'Woody Norman', 'Scoot McNairy', 'Molly Webster']",108 minutes
A Hijacking,"After hijacking the crew of a Danish cargo ship, Somali pirates engage in tense and lengthy negotiations with officials in Copenhagen.",2013.0,"['Drama', 'Thriller']",7.2,45,Tobias Lindholm,"['Pilou Asbæk', 'Søren Malling', 'Dar Salim', 'Roland Møller', 'Gary Skjoldmose Porter']",103 minutes
Howl's Moving Castle,An amazing new animated adventure that celebrates the power of love to transform and the resiliency of the human spirit in the face of adversity.  (Disney),2005.0,"['Animation', 'Adventure', 'Family', 'Fantasy']",8.6,525,Hayao Miyazaki,"['Chieko Baisho', 'Takuya Kimura', 'Akihiro Miwa', 'Tatsuya Gashûin', 'Ryunosuke Kamiki']",119 minutes
Hunger,"Hunger follows life in the Maze Prison, Northern Ireland, with an interpretation of the highly emotive events surrounding the 1981 IRA Hunger Strike led by Bobby Sands. With an epic eye for detail, the film provides a timely exploration of what happens when body and mind are pushed to the uttermost limit. (IFC Films)",2008.0,"['Biography', 'Crime', 'Drama', 'Thriller']",7.6,120,Steve McQueen,"['Michael Fassbender', 'Stuart Graham', 'Liam Cunningham', 'Helena Bereen', 'Laine Megaw']",96 minutes
Crimson Gold,A murder and a suicide occur early one morning in a jewelry store. Behind this headline lies the story of a desperate man's feelings of humiliation in a world of social injustice.,2003.0,"['Crime', 'Drama', 'Thriller']",8.5,8,Jafar Panahi,"['Hossain Emadeddin', 'Kamyar Sheisi', 'Azita Rayeji', 'Shahram Vaziri', 'Ehsan Amani']",95 minutes
Dear Zachary: A Letter to a Son About His Father,Dear Zachary: A Letter to a Son About His Father is a uniquely intense and personal documentary about the murder of Kurt’s oldest friend and the unbelievable legal and emotional madness that ensued. [Oscilloscope Pictures],2008.0,"['Documentary', 'Biography', 'Crime', 'Drama']",8.5,59,Kurt Kuenne,"['Kurt Kuenne', 'Andrew Bagby', 'David Bagby', 'Kathleen Bagby', 'Shirley Turner']",95 minutes
Harry Potter and the Prisoner of Azkaban,"In Harry Potter and the Prisoner of Azkaban, Harry, Ron and Hermione, now teenagers, return for their third year at Hogwarts, where they are forced to face escaped prisoner, Sirius Black, who poses a great threat to Harry. Harry and his friends spend their third year learning how to handle a half-horse half-eagle Hippogriff, repel shape-shifting Boggarts and master the art of Divination. They also visit the wizarding village of Hogsmeade and the Shrieking Shack, which is considered the most haunted building in Britain. In addition to these new experiences, Harry must overcome the threats of the soul-sucking Dementors, outsmart a dangerous werewolf and finally deal with the truth about Sirius Black and his relationship to Harry and his parents. With his best friends, Harry masters advanced magic, crosses the barriers of time and changes the course of more than one life. [Warner Bros.]",2004.0,"['Adventure', 'Family', 'Fantasy', 'Mystery']",8.4,"1,074",Alfonso Cuarón,"['Daniel Radcliffe', 'Rupert Grint', 'Emma Watson', 'Robbie Coltrane', 'Michael Gambon']",141 minutes
Michael Clayton,"Michael Clayton (George Clooney) is an in-house ""fixer"" at one of the largest corporate law firms in New York. At the behest of the firm’s co-founder Marty Bach, Clayton, a former prosecutor from a family of cops, takes care of Kenner, Bach & Ledeen’s dirtiest work.  Clayton cleans up clients’ messes, handling anything from hit-and-runs and damaging stories in the press to shoplifting wives and crooked politicians. Burned out and discontented in his job, Clayton is inextricably tied to the firm.  At the agrochemical company U/North, the career of in-house chief counsel Karen Crowder rests on the settlement of the suit that Kenner, Bach & Ledeen is leading to a seemingly successful conclusion.  When the firms top litigator, the brilliant Arthur Edens, has an apparent breakdown and tries to sabotage the entire case, Marty Back sends Michael Clayton to tackle this unprecedented disaster and in doing so, Clayton comes face to face with the reality of what he has become. (Warner Bros.)",2007.0,"['Crime', 'Drama', 'Mystery', 'Thriller']",8.1,218,Tony Gilroy,"['George Clooney', 'Tom Wilkinson', 'Tilda Swinton', ""Michael O'Keefe"", 'Sydney Pollack']",119 minutes
Downfall,A portrait of Hitler's final days in his Berlin bunker at the end of WWII.,2005.0,"['Biography', 'Drama', 'History', 'War']",8.5,250,Oliver Hirschbiegel,"['Bruno Ganz', 'Alexandra Maria Lara', 'Corinna Harfouch', 'Ulrich Matthes', 'Juliane Köhler']",156 minutes
Knives Out,"When renowned crime novelist Harlan Thrombey (Christopher Plummer) is found dead at his estate just after his 85th birthday, the inquisitive and debonair Detective Benoit Blanc (Daniel Craig) is mysteriously enlisted to investigate. From Harlan’s dysfunctional family to his devoted staff, Blanc sifts through a web of red herrings and self-serving lies to uncover the truth behind Harlan’s untimely death.",2019.0,"['Comedy', 'Crime', 'Drama', 'Mystery', 'Thriller']",7.7,"1,158",Rian Johnson,"['Daniel Craig', 'Chris Evans', 'Ana de Armas', 'Jamie Lee Curtis', 'Michael Shannon']",131 minutes
The Spectacular Now,"This is the tale of Sutter Keely, a high school senior and effortless charmer, and of how he unexpectedly falls in love with ""the good girl"" Aimee Finecky. What starts as an unlikely romance, becomes a sharp-eyed, straight-up snapshot of the heady confusion and haunting passion of youth – one that doesn’t look for tidy truths. [A24]",2013.0,"['Drama', 'Romance']",7.9,262,James Ponsoldt,"['Miles Teller', 'Shailene Woodley', 'Masam Holden', 'Kaitlyn Dever', 'Brie Larson']",95 minutes
Let the Right One In,"A fragile, anxious boy, 12-year-old Oskar is regularly bullied by his stronger classmates but never strikes back. The lonely boy's wish for a friend seems to come true when he meets Eli, also 12, who moves in next door to him with her father. A pale, serious young girl, she only comes out at night and doesn't seem affected by the freezing temperatures. Coinciding with Eli's arrival is a series of inexplicable disappearances and murders. One man is found tied to a tree, another frozen in the lake, a woman bitten in the neck. Blood seems to be the common denominator. But by now a subtle romance has blossomed between Oskar and Eli, and she gives him the strength to fight back against his aggressors. (Magnolia Pictures)",2008.0,"['Drama', 'Fantasy', 'Horror', 'Romance']",8.5,431,Tomas Alfredson,"['Kåre Hedebrant', 'Lina Leandersson', 'Per Ragnar', 'Henrik Dahl', 'Karin Bergquist']",115 minutes
Rams,"In a secluded valley in Iceland, Gummi and Kiddi live side by side, tending to their sheep. Their ancestral sheep-stock is considered one of the country’s best and the two brothers are repeatedly awarded for their prized rams who carry an ancient lineage. Although they share the land and a way of life, Gummi and Kiddi have not spoken to each other in four decades. When a lethal disease suddenly infects Kiddi’s sheep, the entire valley comes under threat. The authorities decide to cull all the animals in the area to contain the outbreak. This is a near death sentence for the farmers, whose sheep are their main source of income, and many abandon their land. But Gummi and Kiddi don’t give up so easily – and each brother tries to stave off the disaster in his own fashion: Kiddi by using his rifle and Gummi by using his wits. As the authorities close in, the brothers will need to come together to save the special breed passed down for generations, and themselves, from extinction. [Cohen Media Group]",2016.0,['Drama'],7.6,34,Grímur Hákonarson,"['Sigurður Sigurjónsson', 'Theodór Júlíusson', 'Charlotte Bøving', 'Jón Benónýsson', 'Gunnar Jónsson']",93 minutes
Rams,"In a secluded valley in Iceland, Gummi and Kiddi live side by side, tending to their sheep. Their ancestral sheep-stock is considered one of the country’s best and the two brothers are repeatedly awarded for their prized rams who carry an ancient lineage. Although they share the land and a way of life, Gummi and Kiddi have not spoken to each other in four decades. When a lethal disease suddenly infects Kiddi’s sheep, the entire valley comes under threat. The authorities decide to cull all the animals in the area to contain the outbreak. This is a near death sentence for the farmers, whose sheep are their main source of income, and many abandon their land. But Gummi and Kiddi don’t give up so easily – and each brother tries to stave off the disaster in his own fashion: Kiddi by using his rifle and Gummi by using his wits. As the authorities close in, the brothers will need to come together to save the special breed passed down for generations, and themselves, from extinction. [Cohen Media Group]",2016.0,['Drama'],7.6,34,Grímur Hákonarson,"['Sigurður Sigurjónsson', 'Theodór Júlíusson', 'Charlotte Bøving', 'Jón Benónýsson', 'Gunnar Jónsson']",93 minutes
Rams,"In remote Western Australia, two estranged brothers, Colin (Sam Neill) and Les (Michael Caton), are at war. Raising separate flocks of sheep descended from their family’s prized bloodline, the two men work side by side yet are worlds apart. When Les’s prize ram is diagnosed with a rare and lethal illness, authorities order a purge of every sheep in the valley. While Colin attempts to stealthily outwit the powers that be, Les opts for angry defiance. But can the warring brothers set aside their differences and have a chance to reunite their family, save their herd, and bring their community back together?",2021.0,['Drama'],7.6,34,Grímur Hákonarson,"['Sam Neill', 'Michael Caton', 'Miranda Richardson', 'Wayne Blair', 'Asher Keddie']",93 minutes
Rams,"In remote Western Australia, two estranged brothers, Colin (Sam Neill) and Les (Michael Caton), are at war. Raising separate flocks of sheep descended from their family’s prized bloodline, the two men work side by side yet are worlds apart. When Les’s prize ram is diagnosed with a rare and lethal illness, authorities order a purge of every sheep in the valley. While Colin attempts to stealthily outwit the powers that be, Les opts for angry defiance. But can the warring brothers set aside their differences and have a chance to reunite their family, save their herd, and bring their community back together?",2021.0,['Drama'],7.6,34,Grímur Hákonarson,"['Sam Neill', 'Michael Caton', 'Miranda Richardson', 'Wayne Blair', 'Asher Keddie']",93 minutes
Certified Copy,"In Italy to promote his latest book, a middle-aged English writer meets a young French woman and jets off to San Gimignano with her. (IFC Films)
",2011.0,"['Drama', 'Romance']",7.6,61,Abbas Kiarostami,"['Juliette Binoche', 'William Shimell', 'Jean-Claude Carrière', 'Agathe Natanson', 'Gianna Giachetti']",106 minutes
Give Me Liberty,"Medical transport driver Vic is late, but it’s not his fault. Roads are closed for a protest, and no one else can shuttle his Russian grandfather and émigré friends to a funeral. The new route uproots his scheduled clients, particularly Tracy (Lauren “Lolo” Spencer), a vibrant young woman with ALS. As the day goes from hectic to off-the-rails, their collective ride becomes a hilarious, compassionate, and intersectional portrait of American dreams and disenchantment. [Music Box Films]",2019.0,"['Comedy', 'Drama']",7.6,16,Kirill Mikhanovsky,"['Chris Galust', ""Lauren 'Lolo' Spencer"", 'Maksim Stoyanov', 'Darya Ekamasova', 'Steve Wolski']",110 minutes
Marjorie Prime,"In the near future, a time of artificial intelligence: 86-year-old Marjorie (Lois Smith)—a jumble of disparate, fading memories—has a handsome new companion (Jon Hamm) who looks like her deceased husband and is programmed to feed the story of her life back to her. What would we remember, and what would we forget, if given the chance? ",2017.0,"['Drama', 'Mystery', 'Romance', 'Sci-Fi']",7.3,38,Michael Almereyda,"['Geena Davis', 'Hannah Gross', 'Jon Hamm', 'India Reed Kotis', 'Leslie Lyles']",99 minutes
Sorry We Missed You,"Ricky, a former laborer, and his home-attendant wife Abby—who lost their home in the 2008 financial crash—are desperate to get out of their financial distress. When an opportunity comes up for Ricky to work as his own boss as a delivery driver, they sell their only asset, Abby’s car, to trade it in for a shiny new white van and the dream that Ricky can work his way up to someday owning his own delivery franchise.  But the couple find their lives are quickly pushed further to the edge by an unrelenting work schedule, a ruthless supervisor and the needs of their two teenage children.  [Zeitgeist Films]",2020.0,['Drama'],7.9,51,Ken Loach,"['Kris Hitchen', 'Debbie Honeywood', 'Rhys Mcgowan', 'Katie Proctor', 'Ross Brewster']",101 minutes
Steve Jobs,"Set backstage at three iconic product launches and ending in 1998 with the unveiling of the iMac, Steve Jobs takes us behind the scenes of the digital revolution to paint an intimate portrait of the brilliant man at its epicenter. [Universal Pictures]",2015.0,"['Biography', 'Drama']",7.1,530,Danny Boyle,"['Michael Fassbender', 'Kate Winslet', 'Seth Rogen', 'Jeff Daniels', 'Michael Stuhlbarg']",122 minutes
Marley,"Bob Marley's universal appeal, impact on music history and role as a social and political prophet is both unique and unparalleled. Marley is the definitive life story of the musician, revolutionary, and legend, from his early days to his rise to international superstardom. Made with the support of the Marley family, the film features rare footage, incredible performances and revelatory interviews with the people that knew him best. (Magnolia Pictures)",2012.0,"['Documentary', 'Biography', 'Music']",8.1,33,Kevin Macdonald,"['Bob Marley', 'Rita Marley', 'Ziggy Marley', 'Bunny Wailer', 'Jimmy Cliff']",144 minutes
Touching the Void,This documentary follows the climbers Joe Simpson and Simon Yates as they set out to climb the west face of the Siula Grande in the Peruvian Andes.,2004.0,"['Documentary', 'Adventure', 'Drama', 'Sport']",8.2,32,Kevin Macdonald,"['Brendan Mackey', 'Nicholas Aaron', 'Ollie Ryall', 'Joe Simpson', 'Richard Hawking']",106 minutes
Le Havre,"In this warmhearted portrait of the French harbor city that gives the film its name, fate throws young African refugee Idrissa into the path of Marcel Marx, a well-spoken bohemian who works as a shoe-shiner. With innate optimism and the unwavering support of his community, Marcel stands up to officials doggedly pursuing the boy for deportation. A political fairy tale that exists somewhere between the reality of contemporary France and the classic cinema of Jean-Pierre Melville and Marcel Carné, Le Havre is a charming, deadpan delight. [Janus Films]",2011.0,"['Comedy', 'Drama']",7.1,44,Aki Kaurismäki,"['André Wilms', 'Kati Outinen', 'Jean-Pierre Darroussin', 'Blondin Miguel', 'Elina Salo']",103 minutes
The Holdovers,"A curmudgeonly instructor (Paul Giamatti) at a New England prep school is forced to remain on campus during Christmas break to babysit the handful of students with nowhere to go. Eventually he forms an unlikely bond with one of them -- a damaged, brainy troublemaker (newcomer Dominic Sessa) -- and with the school’s head cook, who has just lost a son in Vietnam (Da’Vine Joy Randolph).",2023.0,"['Comedy', 'Drama']",8.0,223,Alexander Payne,"['Paul Giamatti', 'Dominic Sessa', ""Da'Vine Joy Randolph"", 'Carrie Preston', 'Brady Hepner']",133 minutes
Sound of Metal,"During a series of adrenaline-fueled one-night gigs, itinerant punk-metal drummer Ruben (Riz Ahmed) begins to experience intermittent hearing loss. When a specialist tells him his condition will rapidly worsen, he thinks his music career — and with it his life — is over. His bandmate and girlfriend Lou (Olivia Cooke) checks the recovering heroin addict into a secluded sober house for the deaf in hopes it will prevent a relapse and help him learn to adapt to his new situation. But after being welcomed into a community that accepts him just as he is, Ruben has to choose between his equilibrium and the drive to reclaim the life he once knew. ",2020.0,"['Drama', 'Music']",8.3,317,Darius Marder,"['Riz Ahmed', 'Olivia Cooke', 'Paul Raci', 'Lauren Ridloff', 'Mathieu Amalric']",120 minutes
Embrace of the Serpent,"Embrace of the Serpent centers on Karamakate, an Amazonian shaman and the last survivor of his people, and the two scientists who, over the course of 40 years, build a friendship with him. The film was inspired by the real-life journals of two explorers (Theodor Koch-Grünberg and Richard Evans Schultes) who traveled through the Colombian Amazon during the last century in search of the sacred and difficult-to-find psychedelic Yakruna plant. [Oscilloscope Pictures]",2016.0,"['Adventure', 'Biography', 'Drama']",7.8,79,Ciro Guerra,"['Nilbio Torres', 'Antonio Bolívar', 'Jan Bijvoet', 'Brionne Davis', 'Yauenkü Miguee']",125 minutes
Side by Side,"Join Keanu Reeves on a tour of the past and the future of filmmaking in SIDE BY SIDE. Since the invention of cinema, the standard format for recording moving images has been film. Over the past two decades, a new form of digital filmmaking has emerged, creating a groundbreaking evolution in the medium. Reeves explores the development of cinema and the impact of digital filmmaking via in-depth interviews with Hollywood masters, such as James Cameron, David Fincher, David Lynch, Martin Scorsese, Steven Soderbergh, and many more. (Tribeca Films)",2012.0,['Documentary'],8.1,40,Christopher Kenneally,"['Keanu Reeves', 'Martin Scorsese', 'James Cameron', 'David Fincher', 'David Lynch']",99 minutes
My Summer of Love,This film vibrantly charts the emotional and physical hothouse effects that bloon one summer for two young women.  [Focus Features],2005.0,"['Drama', 'Romance']",8.7,131,Pawel Pawlikowski,"['Natalie Press', 'Emily Blunt', 'Paddy Considine', 'Dean Andrews', 'Michelle Byrne']",86 minutes
Isle of Dogs,"Isle of Dogs tells the story of Atari Kobayashi, 12-year-old ward to corrupt Mayor Kobayashi. When, by Executive Decree, all the canine pets of Megasaki City are exiled to a vast garbage-dump called Trash Island, Atari sets off alone in a miniature Junior-Turbo Prop and flies across the river in search of his bodyguard-dog, Spots. There, with the assistance of a pack of newly-found mongrel friends, he begins an epic journey that will decide the fate and future of the entire Prefecture.",2018.0,"['Animation', 'Adventure', 'Comedy', 'Drama', 'Sci-Fi']",8.0,549,Wes Anderson,"['Bryan Cranston', 'Koyu Rankin', 'Bob Balaban', 'Edward Norton', 'Bill Murray']",101 minutes
The Return,In contemporary Russia young brothers Vanya and Andrey have grown a deep attachment to each other to make up for their fatherless childhood.  They are shocked to discover their father has returned after a twelve year absence.  With their mother's uneasy blessing Vanya and Andrey set out on what they believe will be a fishing vacation with their taciturn father.  [Kino International],2004.0,"['Horror', 'Mystery', 'Thriller']",8.6,86,Asif Kapadia,"['Elijah Wood', 'Ian McKellen', 'Viggo Mortensen', 'Sean Astin', 'Andy Serkis']",85 minutes
The Return,In contemporary Russia young brothers Vanya and Andrey have grown a deep attachment to each other to make up for their fatherless childhood.  They are shocked to discover their father has returned after a twelve year absence.  With their mother's uneasy blessing Vanya and Andrey set out on what they believe will be a fishing vacation with their taciturn father.  [Kino International],2004.0,"['Horror', 'Mystery', 'Thriller']",8.6,86,Asif Kapadia,"['Elijah Wood', 'Ian McKellen', 'Viggo Mortensen', 'Sean Astin', 'Andy Serkis']",85 minutes
The Return,"Sarah Michelle Gellar stars as Joanna Mills, a tough young Midwesterner determined to learn the truth behind the increasingly terrifying supernatural visions that have been haunting her.  (Rogue Pictures)",2006.0,"['Horror', 'Mystery', 'Thriller']",8.6,86,Asif Kapadia,"['Sarah Michelle Gellar', ""Peter O'Brien"", 'Adam Scott', 'Kate Beahan', 'Sam Shepard']",85 minutes
The Return,"Sarah Michelle Gellar stars as Joanna Mills, a tough young Midwesterner determined to learn the truth behind the increasingly terrifying supernatural visions that have been haunting her.  (Rogue Pictures)",2006.0,"['Horror', 'Mystery', 'Thriller']",8.6,86,Asif Kapadia,"['Sarah Michelle Gellar', ""Peter O'Brien"", 'Adam Scott', 'Kate Beahan', 'Sam Shepard']",85 minutes
Smoke Sauna Sisterhood,"Women share their innermost secrets and intimate experiences inside an Estonian smoke sauna. Cleansing their bodies and baring their souls, they embrace the healing power of sisterhood.",2023.0,['Documentary'],8.7,64,Anna Hints,"['Kadi Kivilo', 'Maria Meresaar', 'Elsa Saks', 'Marianne Liiv', 'Eva Kübar']",89 minutes
Frozen River,"Frozen River is the story of Ray Eddy, an upstate New York trailer mom who is lured into the world of illegal immigrant smuggling when she meets a Mohawk girl who lives on a reservation that straddles the US-Canadian border. Broke after her husband takes off with the down payment for their new doublewide, Ray reluctantly teams up with Lila, a smuggler, and the two begin making runs across the frozen St. Lawrence River carrying illegal Chinese and Pakistani immigrants in the trunk of Ray’s Dodge Spirit. (Sony Pictures Classics)
",2008.0,"['Crime', 'Drama']",7.3,43,Courtney Hunt,"['Melissa Leo', 'Misty Upham', 'Charlie McDermott', 'John Canoe', 'Jay Klaitz']",97 minutes
The Killer,"After a fateful near-miss, an assassin (Michael Fassbender) battles his employers, and himself, on an international manhunt he insists isn't personal. [Netflix]",2023.0,"['Action', 'Crime', 'Drama', 'Thriller']",7.6,31,John Woo,"['Michael Fassbender', 'Tilda Swinton', 'Charles Parnell', 'Arliss Howard', ""Kerry O'Malley""]",111 minutes
The Killer,"After a fateful near-miss, an assassin (Michael Fassbender) battles his employers, and himself, on an international manhunt he insists isn't personal. [Netflix]",2023.0,"['Action', 'Crime', 'Drama', 'Thriller']",7.6,31,John Woo,"['Michael Fassbender', 'Tilda Swinton', 'Charles Parnell', 'Arliss Howard', ""Kerry O'Malley""]",111 minutes
The Twilight Samurai,"A family drama set in the late nineteenth century Japan, as the feudal Shogun period was giving way to the Meiji Restoration. [Empire Pictures]",2004.0,"['Drama', 'Romance']",8.0,21,Yôji Yamada,"['Hiroyuki Sanada', 'Rie Miyazawa', 'Nenji Kobayashi', 'Mitsuru Fukikoshi', 'Min Tanaka']",129 minutes
Requiem,"Inspired by the same events that were previously dramatized in ""The Exorcism of Emily Rose,"" this film portrays a first-year university student whose bout with epilepsy leads to a tragic exorcism.",2006.0,"['Drama', 'Horror']",7.2,9,Hans-Christian Schmid,"['Sandra Hüller', 'Burghart Klaußner', 'Imogen Kogge', 'Anna Blomeier', 'Nicholas Reinke']",89 minutes
Captain Phillips,"The true story of Captain Richard Phillips and the 2009 hijacking by Somali pirates of the US-flagged MV Maersk Alabama, the first American cargo ship to be hijacked in two hundred years.",2013.0,"['Action', 'Biography', 'Crime', 'Drama', 'Thriller']",8.0,798,Paul Greengrass,"['Tom Hanks', 'Barkhad Abdi', 'Barkhad Abdirahman', 'Faysal  Ahmed', 'Mahat M. Ali']",134 minutes
The Climb,"Kyle and Mike are best friends who share a close bond — until Mike sleeps with Kyle's fiancée. The Climb is about a tumultuous but enduring relationship between two men across many years of laughter, heartbreak and rage. It is also the story of real-life best friends who turn their profound connection into a rich, humane and frequently uproarious film about the boundaries (or lack thereof) in all close friendships.",2020.0,"['Comedy', 'Drama']",8.7,90,Michael Angelo Covino,"['Kyle Marvin', 'Michael Angelo Covino', 'Gayle Rankin', 'Talia Balsam', 'George Wendt']",98 minutes
A Hero,"Rahim is in jail for a debt he hasn't been able to pay. During a two-day leave, he tries to convince his creditor to withdraw his complaint in exchange for paying back part of the debt. Rahim is then confronted with a crisis he would never have imagined.",2022.0,['Drama'],7.8,84,Asghar Farhadi,"['Amir Jadidi', 'Mohsen Tanabandeh', 'Sahar Goldoost', 'Fereshteh Sadr Orafaee', 'Sarina Farhadi']",127 minutes
The Northman,"From visionary director Robert Eggers comes The Northman, an action-filled epic that follows a young Viking prince on his quest to avenge his father’s murder. With an all-star cast that includes Alexander Skarsgård, Nicole Kidman, Claes Bang, Anya Taylor-Joy, Ethan Hawke, Björk, and Willem Dafoe.",2022.0,"['Action', 'Adventure', 'Drama', 'Fantasy', 'History', 'Thriller']",7.2,603,Robert Eggers,"['Alexander Skarsgård', 'Nicole Kidman', 'Claes Bang', 'Ethan Hawke', 'Anya Taylor-Joy']",136 minutes
Neruda,"Beloved poet Pablo Neruda (Luis Gnecco) is also the most famous communist in post-WWII Chile. When the political tides shift, he is forced underground, with a perseverant police inspector (Gael García Bernal) hot on his trail. Meanwhile, in Europe, the legend of the poet hounded by the policeman grows, and artists led by Pablo Picasso clamor for Neruda’s freedom. Neruda, however, sees the struggle with his police inspector nemesis as an opportunity to reinvent himself. He cunningly plays with the inspector, leaving clues designed to make their game of cat-and-mouse ever more perilous. In this story of a persecuted poet and his obsessive adversary, Neruda recognizes his own heroic possibilities: a chance to become a symbol for liberty, as well as a literary legend. [The Orchard]",2016.0,"['Biography', 'Crime', 'Drama', 'History', 'Thriller']",7.1,27,Pablo Larraín,"['Gael García Bernal', 'Luis Gnecco', 'Mercedes Morán', 'Emilio Gutiérrez Caba', 'Diego Muñoz']",107 minutes
Blancanieves,"Once upon a time there was a little girl who had never known her mother. She learned the art of her father, a famous bullfighter, but was hated by her evil stepmother. One day she ran away with a troupe of dwarves, and became a legend.  This tribute to silent films is set in southern Spain in the 1920s. [Cohen Media Group]",2013.0,"['Drama', 'Fantasy']",7.8,36,Pablo Berger,"['Maribel Verdú', 'Macarena García', 'Daniel Giménez Cacho', 'Ángela Molina', 'Inma Cuesta']",104 minutes
Once Upon a Time in Anatolia,"Life in a small town is akin to journeying in the middle of the steppes: the sense that ""something new and different"" will spring up behind every hill, but always unerringly similar, tapering, vanishing or lingering monotonous roads. (NBC Film)",2012.0,"['Crime', 'Drama', 'Thriller']",8.0,97,Nuri Bilge Ceylan,"['Muhammet Uzuner', 'Yılmaz Erdoğan', 'Taner Birsel', 'Ahmet Mümtaz Taylan', 'Fırat Tanış']",150 minutes
Oliver Sacks: His Own Life,"Oliver Sacks: His Own Life explores the life and work of the legendary neurologist and storyteller, as he shares intimate details of his battles with drug addiction, homophobia, and a medical establishment that accepted his work only decades after the fact. Sacks was a fearless explorer of unknown mental worlds who helped redefine our understanding of the brain and mind, the diversity of human experience, and our shared humanity.",2020.0,"['Documentary', 'Biography']",7.7,6,Ric Burns,[],111 minutes
The Maid,"The Maid is an insightful comedic drama about family, class and self-discovery. (Elephant Eye Films)",2009.0,"['Comedy', 'Drama']",7.2,11,Sebastián Silva,"['Morgan Freeman', 'Christopher Walken', 'William H. Macy', 'Marcia Gay Harden', 'Philip Dorn Hebert']",95 minutes
Sicario,"In Mexico, Sicario means hitman. In the lawless border area stretching between the U.S. and Mexico, an idealistic FBI agent (Emily Blunt) is enlisted by an elite government task force official (Josh Brolin) to aid in the escalating war against drugs. Led by an enigmatic consultant with a questionable past (Benicio Del Toro), the team sets out on a clandestine journey forcing Kate to question everything that she believes in order to survive.",2015.0,"['Action', 'Crime', 'Drama', 'Mystery', 'Thriller']",8.1,"1,232",Denis Villeneuve,"['Emily Blunt', 'Benicio del Toro', 'Josh Brolin', 'Victor Garber', 'Jon Bernthal']",121 minutes
Bacurau,"A few years from now... Bacurau, a small village in the Brazilian sertão, mourns the loss of its matriarch, Carmelita, who lived to be 94. Days later, its inhabitants notice that their village has literally vanished from most maps and a UFO-shaped drone starts flying overhead. There are forces that want to expel them from their homes.",2020.0,"['Action', 'Adventure', 'Drama', 'Horror', 'Mystery', 'Thriller', 'Western']",7.7,136,"Juliano Dornelles, 
    
      Kleber Mendonça Filho","['Bárbara Colen', 'Thomás Aquino', 'Silvero Pereira', 'Sônia Braga', 'Udo Kier']",131 minutes
