title,description,release_year,genres_list,rating,votes,directors,actors,runtime_minutes
Celeste and Jesse Forever,"Celeste is convinced that divorcing Jesse is the right thing to do -- she is on her way up, he is on his way nowhere, and if they do it now instead of later, they can remain supportive friends. Jesse passively accepts this transition into friendship, even though he is still in love with her. As the reality of their separation sets in, Celeste slowly and painfully realizes she has been cavalier about their relationship, and her decision, which once seemed mature and progressive, now seems impulsive and selfish. But her timing with Jesse is less than fortuitous. While navigating the turbulent changes in their lives and in their hearts, these two learn that in order to truly love someone, you may have to let them go. (Sony Pictures Classics)",2012.0,"['Comedy', 'Drama', 'Romance']",7.1,54,Lee Toland Krieger,"['Rashida Jones', 'Andy Samberg', 'Ari Graynor', 'Eric Christian Olsen', 'Chris Messina']",92 minutes
Metal Lords,"Two kids want to start a heavy metal band in a high school where exactly two kids care about heavy metal. Hunter (Adrian Greensmith) is a diehard metal fan who knows his history and shreds. His dream is to win the upcoming Battle of the Bands. He enlists his best friend Kevin (Jaeden Martell) to man the drums. But with schoolmates more interested in Bieber than Black Sabbath, finding a bassist is a struggle. Until Kevin overhears Emily (Isis Hainsworth) playing her cello. The motley crew must contend with school, parents, hormones and teen angst while trying to get along long enough for Skullf*cker to win the Battle of the Bands.
",2022.0,"['Comedy', 'Music']",7.1,49,Peter Sollett,"['Jaeden Martell', 'Adrian Greensmith', 'Isis Hainsworth', 'Noah Urrea', 'Brett Gelman']",97 minutes
Hippocrates: Diary of a French Doctor,"Benjamin (Vincent Lacoste) begins his internship at the hospital run by his father. Confident and determined that he will quickly become a successful doctor, Benjamin soon realizes that the reality of the medical world is a lot grimmer than what he had imagined. He is also overshadowed by his co-junior partner Abdel (Reda Kateb), a foreign doctor who’s obviously more competent than he is but who’s forced to work as an intern because of his immigrant status. When Vincent makes a medical error, his father quickly covers it up but Abdel is not fooled. [Distrib Films]",2015.0,"['Comedy', 'Drama']",7.5,4,Thomas Lilti,"['Vincent Lacoste', 'Reda Kateb', 'Jacques Gamblin', 'Marianne Denicourt', 'Félix Moati']",102 minutes
Anthropoid,"Anthropoid is based on the extraordinary true story of ""Operation Anthropoid,"" the code name for the Czechoslovakian operatives' mission to assassinate SS officer Reinhard Heydrich. Heydrich, the main architect behind the Final Solution, was the Reich's third in command behind Hitler and Himmler and the leader of Nazi forces in Czechoslovakia. The film follows two soldiers from the Czechoslovakian army-in-exile, Josef Gabčík (Cillian Murphy) and Jan Kubis (Jamie Dornan), who are parachuted into their occupied homeland in December 1941. With limited intelligence and little equipment in a city under lock down, they must find a way to assassinate Heydrich, an operation that would change the face of Europe forever.",2016.0,"['Action', 'Drama', 'History', 'Romance', 'Thriller', 'War']",7.3,78,Sean Ellis,"['Jamie Dornan', 'Cillian Murphy', 'Charlotte Le Bon', 'Anna Geislerová', 'Harry Lloyd']",120 minutes
Heli,"Estela is a 12 year old girl who has just fallen in love with a young police cadet who wants to run away with her and get married. While she tries to achieve this dream, her family is engulfed in the violence of the region.",2014.0,"['Crime', 'Drama', 'Romance', 'Thriller']",7.2,9,Amat Escalante,"['Armando Espitia', 'Andrea Vergara', 'Linda Gonzalez', 'Juan Eduardo Palacios', 'Kenny Johnston']",105 minutes
Ping Pong,"Peco and Smile are members of the high school table tennis club. Peco is charismatic and has a passion for the sport, while Smile is introverted. Despite Smile's greater natural talent, he sees the sport as simply a way to pass the time, and often lets less able players such as Peco beat him out of consideration for their feelings. Through multiple tournaments and competitions, both Peco and Smile realize what Ping Pong means to each of them.  [Imaginasian]",2007.0,"['Comedy', 'Drama', 'Sport']",7.5,4,Fumihiko Sori,"['Jimmy Tsai', 'Andrew Vo', 'Khary Payton', 'Peter Paige', 'Scott Lowell']",114 minutes
Fantasia 2000,"Experience an extravaganza of sight and sound in Fantasia 2000, the triumphant classic inspired by Walt Disney's vision of Fantasia as a continuing work-in-progress. Fully immerse yourself in the wonders of this innovative blend of music and animated imagery. See the music come to life, hear the pictures burst into song and share the excitement that is Fantasia 2000 with your family again and again. [Walt Disney Pictures]",2000.0,"['Animation', 'Family', 'Fantasy', 'Music']",7.3,84,"James Algar, 
    
      Gaëtan Brizzi, 
    
      Paul Brizzi, 
    
      Hendel Butoy","['Steve Martin', 'Itzhak Perlman', 'Quincy Jones', 'Bette Midler', 'James Earl Jones']",74 minutes
The Rundown,"A contemporary action-comedy set against the raw, untamed landscape of the Amazon.  (Universal)",2003.0,"['Action', 'Adventure', 'Comedy', 'Thriller']",8.3,196,Peter Berg,"['Dwayne Johnson', 'Seann William Scott', 'Rosario Dawson', 'Christopher Walken', 'Ewen Bremner']",104 minutes
Hidden Blade,"During World War II, at the height of China’s war of resistance against Japan, a group of courageous citizens develops a top-secret underground espionage network right under the nose of the newly established puppet regime. At increasingly great peril to their own lives, the double-agents masterfully extract classified information from deep behind enemy lines, an effort that gives rise to the united front that will help turn the tide of the conflict.",2023.0,"['Drama', 'History', 'Thriller']",8.0,8,Er Cheng,"['Tony Leung Chiu-wai', 'Wang Yibo', 'Zhou Xun', 'Eric Wang', 'Huang Lei']",128 minutes
Mission: Impossible II,"Ethan Hunt (Tom Cruise) leads his IMF team to capture and destroy a German-manufactured virus before it falls in the wrong, potentially deadly hands.",2000.0,"['Action', 'Adventure', 'Thriller']",7.9,771,John Woo,"['Tom Cruise', 'Dougray Scott', 'Thandiwe Newton', 'Ving Rhames', 'Richard Roxburgh']",123 minutes
